"Individual","Time","Phenotype","X1","X2","X3"
8,71,6.477791965,1.921992763,1.287707271,1.18838647235968
8,78,-0.718713631,-0.707090226,-0.365314824,-0.932894712285283
9,4,2.927955615,-0.44741083,-2.969571407,-1.80591556110541
9,22,2.418306006,0.10201474,-1.529874131,-0.940218044360595
9,26,1.122202307,-1.267074385,-0.802227301,-0.565867061341318
9,31,0.520436806,-0.192560426,0.572862712,0.166928810804224
9,32,1.847446695,0.205599641,-0.155721277,-0.23973040771104
9,45,1.397592665,0.179803771,0.234032024,0.0240844210226796
9,57,1.805385191,0.580964136,0.440124614,0.594866976592601
9,62,-0.274431414,-0.217788024,1.533475771,1.47378576611273
9,63,1.862594201,0.257758963,-0.540750338,-0.226104712978331
9,68,0.723645958,-0.432256894,0.652285864,0.0675906284580311
9,88,1.492598178,0.95312443,1.104507272,1.02402395515112
10,8,-0.172995396,-1.104256701,1.586759205,1.39096701534276
10,18,0.894943137,-0.678564285,-1.177769174,-0.39602536651341
10,29,3.374664982,0.551093882,0.295778066,0.0849650789405761
10,34,4.750752905,0.980554088,-0.511564975,-0.0439852587834431
10,52,3.081418543,0.163880395,-1.037059966,-0.54948134093708
10,53,-2.287842452,-2.039506549,-1.157241111,-0.881518440146594
10,59,2.16978608,0.049488917,0.796219122,0.0124029219853873
10,74,3.325187211,0.557863806,1.037733067,0.856998271233962
10,76,3.313599882,0.696351938,0.037219154,0.314569349160984
10,79,0.514080186,-0.724213355,0.79148506,1.14072097545391
10,87,1.616958347,-0.151758401,-0.150069545,0.130372579298823
10,88,3.627520327,0.95312443,1.104507272,0.789033511732472
10,92,2.238023601,-0.133461592,0.284764816,0.494624217816566
10,97,3.693939449,1.024820496,1.704559361,1.50423493719607
11,8,-1.983187143,-1.104256701,1.586759205,0.978042673008011
11,9,-1.153537453,-0.9370202,0.008365724,-0.329509102321275
11,18,0.358343082,-0.678564285,-1.177769174,-0.671278332459422
11,31,0.362741821,-0.192560426,0.572862712,0.198355030883417
11,37,1.316182763,-0.523806219,-1.857511793,-1.31311890119251
11,41,1.143160901,0.039110666,0.570861524,0.300583732019391
11,48,-0.631322867,-0.720113006,0.945786829,0.53285545520952
11,64,2.234969444,0.791010008,1.005754911,0.68255826514196
11,67,-0.567357242,-0.889403091,0.857153324,0.838943105395617
11,70,-1.581112113,-1.695998642,-0.204999199,0.107071215909609
11,75,1.849587369,0.721450355,-0.417580461,-0.338712517969954
11,77,0.39624643,-0.385722915,0.249877272,0.196964871444152
11,78,-0.250236871,-0.707090226,-0.365314824,-0.334826754947733
11,80,5.395880466,2.116081453,-0.08461603,-0.00999618507797528
11,90,0.424291297,-0.204712551,0.335138785,0.575120394029197
11,100,1.809221699,0.403877373,-0.1890457,0.575848226693656
12,3,1.736441166,-0.520256485,1.686098766,0.78249094778477
12,8,0.665525198,-1.104256701,1.586759205,1.56047962847621
12,41,1.550205054,0.039110666,0.570861524,0.536152999687963
12,74,2.196519935,0.557863806,1.037733067,0.84567775902824
12,82,2.844188367,1.180830361,0.260158671,0.277540001421914
12,88,2.660442744,0.95312443,1.104507272,0.323491748521356
12,98,0.783935105,-0.557564896,-1.254968228,-1.15027631555341
13,4,1.864556655,-0.44741083,-2.969571407,-2.91857064739126
13,6,3.859260413,0.45770272,-1.055497673,-1.16851066144369
13,31,2.416964875,-0.192560426,0.572862712,0.702028013379271
13,33,6.741844418,1.98281629,-0.706419871,-0.416395300886092
13,42,1.461999985,-0.992629011,-1.803935874,-1.37367262366169
13,45,3.495853933,0.179803771,0.234032024,0.0841821952342863
13,52,3.461719164,0.163880395,-1.037059966,-1.09438269969348
13,54,1.882593064,-0.824108434,0.819005262,0.462989518801009
13,61,0.768476769,-1.225294763,-1.110360039,-0.77337349408621
13,62,3.299217502,-0.217788024,1.533475771,0.954326596573986
13,85,1.111073826,-1.309380193,-1.958498698,-1.01553803796464
13,91,2.933578624,-0.109126626,0.690567032,0.171517498585281
14,2,1.963573166,0.424404172,0.440104701,0.500551907463477
14,8,0.58465152,-1.104256701,1.586759205,0.80959055848714
14,16,0.903074697,-0.990091873,0.530859912,0.419470452638434
14,29,2.152067483,0.551093882,0.295778066,0.587087659815128
14,30,1.509396357,0.106504055,0.069136053,0.33239399608877
14,38,3.839002588,1.951669707,0.96797205,0.917430376326454
14,40,0.637974207,-0.865360916,-0.466927818,-0.094664112606356
14,57,2.746856677,0.580964136,0.440124614,0.909331745461826
14,58,0.761186995,-0.188779119,-1.475956369,-1.21171006273276
14,61,0.084409902,-1.225294763,-1.110360039,-0.340215934335874
14,65,1.552257366,-0.733537515,1.820908155,1.45598787143576
14,76,2.466454688,0.696351938,0.037219154,-0.147349256065468
14,86,3.246638947,1.550182188,0.944087298,0.911777056527852
14,91,1.542085333,-0.109126626,0.690567032,0.863483146869594
15,9,2.206470616,-0.9370202,0.008365724,0.0560828728197817
15,16,2.585405872,-0.990091873,0.530859912,0.262704839981104
15,40,1.7559048,-0.865360916,-0.466927818,-0.192865904020922
15,49,2.519775268,1.104408769,-1.629438644,-0.921101207528941
15,60,2.936088952,-0.24603432,0.170836706,0.197636076043741
16,3,-1.036610948,-0.520256485,1.686098766,0.53836132964159
16,4,1.178026218,-0.44741083,-2.969571407,-2.31719648047244
16,9,-1.293843614,-0.9370202,0.008365724,-0.315790586283734
16,49,3.010579999,1.104408769,-1.629438644,-1.25260997520711
16,56,-1.574176056,-1.80215278,-1.379477957,-1.34494762078373
16,60,-0.024014911,-0.24603432,0.170836706,0.483198038711391
16,65,-1.91695642,-0.733537515,1.820908155,1.05453986469872
16,70,-1.855769937,-1.695998642,-0.204999199,0.316687009639601
16,90,-0.463579809,-0.204712551,0.335138785,0.673431274984624
17,1,1.175358951,0.425653235,-0.88874252,-0.841989917368259
17,12,3.441699489,1.848756291,1.022960522,0.627652698386006
17,20,0.01226921,-0.625805564,-1.121681255,-1.25721686262209
17,29,2.288439886,0.551093882,0.295778066,0.00891913322221341
17,35,1.019709132,-0.687967707,0.358918175,0.553457741060714
17,39,2.208278424,2.224789851,-1.337116693,-1.06465345355674
17,47,0.417451957,-1.804201215,0.698481032,0.313839628312087
17,52,0.573439773,0.163880395,-1.037059966,-0.565129401264613
17,54,1.324855872,-0.824108434,0.819005262,0.840479767345046
17,55,1.317312492,0.047975861,0.24084527,0.161837567236925
17,56,-1.269606081,-1.80215278,-1.379477957,-0.920480281096141
17,57,1.695644173,0.580964136,0.440124614,0.0933121998773923
17,68,1.216575867,-0.432256894,0.652285864,0.618863083584561
17,69,2.419923315,1.775925665,0.26524043,-0.403991230803731
17,82,2.201474877,1.180830361,0.260158671,-0.144947581344468
17,90,1.392761074,-0.204712551,0.335138785,0.125267570445883
18,6,1.330244191,0.45770272,-1.055497673,0.161997447451576
18,19,2.290655319,0.873798832,0.697554211,0.203135731748936
18,23,1.98545887,-0.945163203,-0.321458603,-0.230069085068191
18,24,2.320755262,-0.321917146,-0.074668993,-0.306177690042633
18,25,2.088090634,-1.122076658,0.619606086,0.467844977941
18,49,1.112878401,1.104408769,-1.629438644,-1.15483623520138
18,55,1.987686828,0.047975861,0.24084527,0.133677340561437
18,57,2.008444427,0.580964136,0.440124614,1.0676280857644
18,64,2.416302237,0.791010008,1.005754911,0.662380052116362
18,73,2.106267958,1.397662664,-0.11301119,0.211509746097051
18,84,2.158835683,0.450322762,0.77042985,-0.0377823747425364
18,99,1.850565814,-0.338841673,-0.728373282,-0.80956715352242
19,1,1.72850095,0.425653235,-0.88874252,-0.746199854544302
19,5,-0.45716184,-0.197549663,0.27623519,0.137443559625856
19,11,0.087272678,-0.215930049,-0.064728254,0.138666479503519
19,14,0.713125545,0.27543405,0.371998952,0.420892154663517
19,28,-0.669277431,-0.904953517,-0.632277901,-0.480149008300507
19,32,0.679107753,0.205599641,-0.155721277,-0.0184570682683423
19,50,-0.59676179,-1.468896338,-2.11055923,-1.15824462005703
19,57,1.210664766,0.580964136,0.440124614,0.40007667867648
19,67,-1.285287227,-0.889403091,0.857153324,0.75586340930312
19,74,1.003191811,0.557863806,1.037733067,0.542543503176423
19,83,1.119141868,0.549452569,0.90429625,0.686984165150774
20,4,-3.085417466,-0.44741083,-2.969571407,-2.37691169274385
20,6,-1.028556045,0.45770272,-1.055497673,-0.989694046081174
20,10,0.471584728,-0.091581086,1.145934885,1.06928431361027
20,19,1.252017816,0.873798832,0.697554211,0.753090573417542
20,21,1.160862534,-0.320521033,2.016734262,0.977001751029012
20,23,-1.034945071,-0.945163203,-0.321458603,-0.656601375528272
20,24,-0.95466648,-0.321917146,-0.074668993,-0.20427833053364
20,36,-1.356106251,0.08488151,-0.384172429,0.0847389640067517
20,51,0.533634529,1.024847582,0.184575713,0.208047465204298
20,63,-0.663730807,0.257758963,-0.540750338,-0.574163340802823
20,89,-0.893289109,-0.542557928,-0.313247562,-0.15409084864914
20,90,-0.342311962,-0.204712551,0.335138785,0.031552145536884
21,2,7.41925745837691,0.424404172,0.440104701,0.41954360265948
21,8,5.58270777700138,-1.104256701,1.586759205,1.2180822393154
21,16,5.96426430325572,-0.990091873,0.530859912,0.314141877582087
21,29,7.17753790422561,0.551093882,0.295778066,0.49650081585619
21,30,6.15712153200672,0.106504055,0.069136053,0.155528781445663
21,38,8.95269751310953,1.951669707,0.96797205,0.526578481484993
21,40,5.73300833536525,-0.865360916,-0.466927818,0.495392001880962
21,57,8.14248954235406,0.580964136,0.440124614,0.39439981402569
21,58,5.22727627798839,-0.188779119,-1.475956369,-1.36137470608074
21,61,4.91037710288787,-1.225294763,-1.110360039,-1.13205013530767
21,65,6.28705829351469,-0.733537515,1.820908155,1.09990294655058
21,76,7.06507287760492,0.696351938,0.037219154,-0.403955331748462
21,86,8.14502135534546,1.550182188,0.944087298,0.521397573127163
21,91,6.57071178147293,-0.109126626,0.690567032,0.806057621663846
