Individual,Phenotype,X1,X2,X1X2
10,0.446707745,-0.242509022,-1.451886659,0.352095613
10,0.678428532,-0.369417894,-1.480914668,0.547076377
10,-0.757358152,1.112365723,-1.492954868,-1.660711822
10,0.884880196,-0.816716479,-1.48504599,1.212861532
10,0.67458211,-0.424541289,-1.331372645,0.565222658
10,-0.027969616,0.199606488,-0.772406636,-0.154177376
10,0.248946721,-0.121165482,-0.655539558,0.079428767
10,0.495385707,-0.303330306,-0.385602753,0.116965001
10,-0.099790548,0.275974638,-0.334033114,-0.092184668
10,-0.181813893,0.316316763,-0.61574244,-0.194769656
10,-0.596611608,0.809222557,-0.454160217,-0.367516692
10,0.242012286,-0.204879067,-0.363007032,0.074372542
10,-0.746999642,1.038170652,-0.256761367,-0.266562116
10,0.262846355,-0.145487631,0.447495265,-0.065105026
10,0.771104412,-0.823642993,0.273510188,-0.22527475
10,-0.371805504,0.593424015,0.269378866,0.159855888
10,-0.571910757,0.771681619,0.620451061,0.47879068
10,1.93983825,-2.418370655,0.982018221,-2.374884048
10,0.622285497,-0.643212332,1.420391742,-0.913613486
10,-0.948498104,1.022492008,1.324707693,1.354503029
10,-0.239273978,0.393233713,1.179750625,0.463917719
10,-0.424377354,0.818124744,1.138682417,0.93158426
10,0.954066277,-1.316738128,1.176157045,-1.548690826
