,Replicate,Individual,Individual_Trait,Trait,Time,Phenotype,B0,B1,B2,B12,I,S1,S2,S12,X1,X2,X1X2,G,e
807,1,9,9,1,7,-1.137224559,0,0.5,0.3,0,-0.895663807,0,0,0,0.642077334,-1.499405823,0,0,-0.112777672
834,1,9,9,1,34,-0.257217285,0,0.5,0.3,0,-0.895663807,0,0,0,2.048206601,-0.56874014,0,0,-0.215034737
850,1,9,9,1,50,-0.959022122,0,0.5,0.3,0,-0.895663807,0,0,0,0.126864084,-0.01723455,0,0,-0.121619992
862,1,9,9,1,62,-1.378705281,0,0.5,0.3,0,-0.895663807,0,0,0,-0.873346019,0.396394643,0,0,-0.165286857
873,1,9,9,1,73,-0.54550261,0,0.5,0.3,0,-0.895663807,0,0,0,0.674645083,0.775554736,0,0,-0.219827766
879,1,9,9,1,79,-0.239617833,0,0.5,0.3,0,-0.895663807,0,0,0,0.467347013,0.982369332,0,0,0.127661668
887,1,9,9,1,87,0.609643147,0,0.5,0.3,0,-0.895663807,0,0,0,1.96952322,1.258122127,0,0,0.143108706
901,1,10,10,1,1,-0.877585601,0,0.5,0.3,0,-0.33841171,0,0,0,-0.271682282,-1.706220419,0,0,0.108533375
910,1,10,10,1,10,-1.3266881,0,0.5,0.3,0,-0.33841171,0,0,0,-1.213462796,-1.395998525,0,0,0.037254566
912,1,10,10,1,12,-0.619788693,0,0.5,0.3,0,-0.33841171,0,0,0,0.339727898,-1.327060326,0,0,-0.053122834
914,1,10,10,1,14,0.492009528,0,0.5,0.3,0,-0.33841171,0,0,0,2.485608639,-1.258122127,0,0,-0.034946443
937,1,10,10,1,37,-0.715047468,0,0.5,0.3,0,-0.33841171,0,0,0,-0.686825386,-0.465332842,0,0,0.106376787
961,1,10,10,1,61,0.522433278,0,0.5,0.3,0,-0.33841171,0,0,0,1.239311372,0.361925543,0,0,0.132611639
991,1,10,10,1,91,-0.432551259,0,0.5,0.3,0,-0.33841171,0,0,0,-0.384629381,1.395998525,0,0,-0.320624416
993,1,10,10,1,93,-0.270743726,0,0.5,0.3,0,-0.33841171,0,0,0,-0.424840011,1.464936724,0,0,-0.159393027
995,1,10,10,1,95,-0.593098221,0,0.5,0.3,0,-0.33841171,0,0,0,-1.203282274,1.533874922,0,0,-0.11320785
